ID,TeamNumber,MatchNumber,ScoutName,AutoNumberOfCycles,AutoShootingSpeed,AutoBallsPerCycle,AutoAccuracy,AutoRobotSpeed,AutoClimbingLevel,TeleNumberOfCycles,TeleShootingSpeed,TeleBallsPerCycle,TeleAccuracy,TeleRobotSpeed,TeleClimbingLevel,Score,Comments
212,5459,40,DAB,1.00,3.00,3.00,3.00,2.00,0.00,3.00,2.00,2.00,2.00,2.00,1.00,2.00,
213,9443,41,DAB,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,Played defense. 
214,4169,42,DAB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,Gathered balls but can't shoot right.
215,4311,43,DAB,1.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Was a feeder bot, then went to defense."
216,4761,44,DAB,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,2.00,3.00,3.00,0.00,3.00,Can pick from the floor. Can go underneath trench. 
217,4546,45,DAB,1.00,2.00,2.00,2.00,0.00,0.00,2.00,2.00,2.00,3.00,3.00,0.00,0.00,Can pick from the floor. Can go underneath trench. Played defense. 
218,125,2,the goat,2.00,3.00,3.00,3.00,3.00,0.00,13.00,3.00,3.00,3.00,3.00,0.00,5.00,They drag shot a ton and fed so I counted cycles for.abt every 10 balls or.so also its buttons lol
219,2713,5,the goat,1.00,3.00,3.00,3.00,2.00,0.00,4.00,3.00,3.00,3.00,2.00,0.00,3.00,Shoots to feed a lot bounce back out then it pushes kinda mid feeder stopped mid match ore stop I rate them a 4 coulda been more efficient
220,4546,6,the goat,1.00,1.00,2.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Followed wrong bot at start auto was right something didn't work after I saw them like mid match and they never shot bad feeding tho
221,1761,7,the goat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,Turns 45 degrees in auto didn't move for like 30s looks like a swerve module disconnected did basically nothing quit trying to move at like 1m
222,4169,8,the goat,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,1.00,1.00,0.00,1.00,Didn't move auto dodo did pretty much nothing made maybe 25 balls
223,1721,9,the goat,1.00,2.00,2.00,3.00,2.00,0.00,4.00,2.00,1.00,2.00,2.00,0.00,2.00,Needs net over intake can't shoot half the hopper like 2 bpc
224,1922,10,the goat,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,2.00,3.00,0.00,0.00,3.00,Missed auto MB only a 3 cuz they did stuff and weren't terrible
225,78,11,the goat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Got back from lunch missed this match
226,5813,12,the goat,1.00,3.00,3.00,3.00,3.00,0.00,8.00,3.00,3.00,3.00,3.00,0.00,5.00,They put out like 10-20 a cycle 
227,2084,13,the goat,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,1.00,1.00,1.00,0.00,1.00,No move auto makes 1\20 shots 😭
228,4761,14,the goat,1.00,3.00,2.00,0.00,0.00,0.00,5.00,2.00,3.00,2.00,2.00,0.00,4.00,Low 4 prob the worst 4 I've said
229,97,15,the goat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Didn't even load balls in for auto I don't even see an intake
230,2876,16,the goat,0.00,0.00,0.00,0.00,2.00,0.00,2.00,1.00,1.00,2.00,2.00,0.00,2.00,Went to blue side was red
231,1761,17,the goat,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,1.00,3.00,0.00,0.00,0.00,Moved 2in auto shoots 2 at a time stopped moving
232,58133,18,the goat,1.00,3.00,3.00,3.00,2.00,0.00,7.00,3.00,3.00,3.00,3.00,0.00,5.00,Last 10s intake got stuck
233,2084,19,the goat,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,1.00,3.00,1.00,0.00,1.00,No move auto scored 8 balls in 4 cycles
234,2423,20,the goat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,missed mb
235,4311,21,the goat,1.00,3.00,2.00,2.00,3.00,0.00,5.00,2.00,3.00,3.00,2.00,0.00,3.00,Missed abt half 
236,10156,22,the goat,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,1.00,3.00,0.00,1.00,Didn't move auto tank drive? made like 1\10 shots
237,3566,23,the goat,2.00,2.00,1.00,3.00,2.00,0.00,7.00,2.00,2.00,3.00,2.00,0.00,4.00,Pretty decent
238,6731,24,thomas,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,Played defense. 
239,6201,25,thomas,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,2.00,2.00,1.00,3.00,Played defense. Can go underneath trench. 
240,3205,26,thomas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,2.00,0.00,2.00,Can go underneath trench. Played defense. 
241,9443,27,thomas,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,3.00,2.00,2.00,0.00,4.00,Filled the turret. WARNING CAN TIP OVER! Can pick from the floor. Played defense. 
242,125,28,thomas,0.00,0.00,0.00,0.00,0.00,0.00,8.00,3.00,3.00,3.00,3.00,0.00,5.00,FAST! Can pick from the floor. Can go underneath trench. 
243,433,29,thomas,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,2.00,2.00,2.00,0.00,3.00,Can pick from the floor. Can go underneath trench. Broke down. 
244,78,30,thomas,0.00,0.00,0.00,0.00,3.00,0.00,0.00,3.00,3.00,3.00,3.00,0.00,4.00,Can pick from the floor. Dropped fuel sometimes. Can pick from the outpost. 
245,5459,31,thomas,0.00,2.00,2.00,1.00,3.00,0.00,3.00,2.00,2.00,1.00,2.00,1.00,3.00,Can pick from the floor. Can go underneath trench. Had technical issues. Played defense. 
246,9443,32,thomas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,3.00,3.00,0.00,3.00,Played defense. 
247,2876,33,thomas,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,Can go underneath trench. Played defense. 
248,3205,34,thomas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No moving
249,2423,35,thomas,1.00,3.00,3.00,2.00,2.00,0.00,2.00,2.00,2.00,2.00,2.00,0.00,3.00,Single shooter. fairly accurate. good at feeding on down times
250,1721,36,thomas,1.00,2.00,1.00,1.00,1.00,0.00,2.00,2.00,1.00,1.00,1.00,0.00,1.00,Bad shooter. okay at pushing balls towards zone. that's all they did
251,97,37,thomas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no blinky light. :(
252,246,38,thomas,1.00,1.00,1.00,1.00,0.00,0.00,4.00,2.00,1.00,2.00,1.00,0.00,3.00,Decent shooter. slow set up to shoot
253,4546,39,rachel,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,Didn't score but actually really good at corraling the balls over to their side. Didn't pick them up.
254,88,40,rachel,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Going to be honest I didn't pay attention. that's my bad. its 88 they are alright
255,1761,41,rachel,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Tried to defend. ended up just being in the way of their own team. very sparadic. died at the end
256,69,42,rachel,1.00,3.00,3.00,2.00,1.00,0.00,3.00,2.00,2.00,3.00,2.00,0.00,4.00,Missed 4 balls. slow set up to shoot. good at pick up
257,6367,43,joyce,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,1.00,2.00,1.00,0.00,0.00,
258,1721,44,joyce,1.00,1.00,1.00,1.00,1.00,0.00,8.00,1.00,1.00,2.00,1.00,0.00,1.00,
259,3205,45,joyce,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,1.00,2.00,1.00,0.00,1.00,Don't have auto
260,88,1,Zander,2.00,0.00,2.00,3.00,3.00,0.00,2.00,0.00,3.00,3.00,3.00,0.00,3.00,"Intake seemed to stop working halfway through. at max ball capacity, they don't fit under the bar. "
261,8626,3,Zander,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,3.00,0.00,0.00,2.00,played defense. 
262,4761,4,Zander,1.00,2.00,2.00,2.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,0.00,0.00,Balls were shot but didnt go more than 1 foot high
263,1058,5,Zander,1.00,3.00,3.00,0.00,2.00,0.00,2.00,3.00,3.00,2.00,3.00,0.00,4.00,1 cycle in auto fed balls to their side of the field. spent the second half of the match feeding human players. 
264,5813,6,Zander,1.00,2.00,3.00,3.00,2.00,0.00,8.00,2.00,3.00,3.00,2.00,0.00,5.00,Good cycles
265,151,7,Zander,1.00,1.00,2.00,2.00,0.00,0.00,4.00,2.00,2.00,0.00,2.00,0.00,3.00,Much. better accuracy closer to the goal
266,2877,8,Zander,1.00,1.00,2.00,2.00,2.00,0.00,4.00,1.00,2.00,2.00,2.00,0.00,2.00,Collided into our robot
267,238,9,Zander,2.00,2.00,2.00,3.00,1.00,0.00,7.00,2.00,3.00,1.00,2.00,0.00,4.00,
268,10156,10,Zander,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No auto. Kept getting caught under the trench and got completely stuck on the bump once. 
269,4311,11,Zander,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Missed match after lunch
270,2713,12,Zander,1.00,0.00,1.00,0.00,0.00,0.00,5.00,2.00,3.00,2.00,0.00,0.00,4.00,High ball capacity. Didn't always use it
271,6731,13,Zander,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,2.00,2.00,0.00,2.00,Intake/hopper mechanisms had some issues. robot disconnected in the last 30 seconds. 
272,9443,14,Zander,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Pushed balls to their side of the field. very tippy. did a lot of ball surfing
273,246,15,Zander,1.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,Pushed balls
274,1058,16,Zander,1.00,3.00,2.00,2.00,3.00,0.00,3.00,2.00,3.00,3.00,3.00,0.00,0.00,"In auto, zoomed across the field and launched off the ramp onto another robot. penalty for that. "
275,6731,17,Zander,1.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,2.00,3.00,2.00,0.00,4.00,Kindle died during this match. data may be slightly inaccurate 
276,69,18,Zander,2.00,2.00,2.00,2.00,2.00,0.00,2.00,2.00,2.00,2.00,2.00,0.00,2.00,Intake started binding up toward the end of the match
277,88,19,Zander,1.00,2.00,2.00,2.00,2.00,0.00,3.00,1.00,1.00,2.00,0.00,0.00,3.00,Slowed to a crawl in the last 10 seconds. 
278,1721,20,Zander,1.00,2.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,Too many people in the way this match. missed teleop
